name,price,rating,review_count,address,city,state,zip_code
Diablos Micheladas Mexican Grill,$$,4.0,19,8304 Limonite Ave,Riverside,CA,92509
Sushi R91,$$,4.0,417,1630 Spruce St,Riverside,CA,92507
Placita,$$,4.0,182,1805 University Ave,Riverside,CA,92507
Rockstar Shrimp,$$,4.0,434,767 W Blaine St,Riverside,CA,92507
Yard House,$$,3.5,876,3775 Tyler St,Riverside,CA,92503
Backstreet Restaurant,$$,4.0,316,3735 Nelson St,Riverside,CA,92506
Best Thai Cuisine,$$,4.0,842,1735 Spruce St,Riverside,CA,92507
Bann Thai,$$,4.0,65,6461 Brockton Ave,Riverside,CA,92506
Punjab Palace,$$,4.0,559,1766 University Ave,Riverside,CA,92507
OK Tofu House,$$,4.0,238,10560 Magnolia Ave,Riverside,CA,92505
The Beach,$$,3.5,324,8022 Limonite Ave,Riverside,CA,92509
Peking Chinese Restaurant,$$,4.0,389,11170 Magnolia Ave,Riverside,CA,92505
Royal Orchid Thai Restaurant,$,4.0,327,9791 Magnolia Ave,Riverside,CA,92503
Poke Bistro,$$,4.5,609,3375 Iowa Ave,Riverside,CA,92507
Otsuka Ramen & Bar,$$,3.5,96,10949 Magnolia Ave,Riverside,CA,92505
Punjab Palace,$$,4.0,465,10359 Magnolia Ave,Riverside,CA,92505
Kabab El Basha,$$,4.0,37,365 Iowa Ave,Riverside,CA,92507
Saucy Me,,5.0,2,,Riverside,CA,92504
Taco Station,$,4.0,590,4088 Mission Inn Ave,Riverside,CA,92501
Ixtapa,$$,4.0,79,4093 University Ave,Riverside,CA,92501
Law's Restaurant,$$,3.5,269,9640 Indiana Ave,Riverside,CA,92503
Taiyos Sushi & Poki,$$,4.0,616,11120 Magnolia Ave,Riverside,CA,92505
Taqueria 2 Potrillos - Riverside,$,4.0,97,10088 Magnolia Ave,Riverside,CA,92503
Romano's,$$,3.0,412,5225 Canyon Crest Dr,Riverside,CA,92507
D'caesaro Pizza & Italian Restaurant,$,4.5,372,6160 Arlington Ave,Riverside,CA,92504
Gram's Mission BBQ,$$,3.5,558,3527 Main St,Riverside,CA,92501
Retro Taco,,4.0,146,3744 Main St,Riverside,CA,92501
Locals Public House,$$,4.5,119,285 E Alessandro Blvd,Riverside,CA,92508
Elias Pita,$$,4.5,833,1490 University Ave,Riverside,CA,92507
El Trigo,$,4.5,386,4155 Park Ave,Riverside,CA,92507
Zen Street,$$,3.5,809,3600 Central Ave,Riverside,CA,92506
Yumei Sushi,$$,4.0,107,9844 Magnolia Ave,Riverside,CA,92503
Victoria Club,$$$,4.0,16,2521 Arroyo Dr,Riverside,CA,92506
Pupuseria La Sierra Restaurant,$,4.0,247,4505 La Sierra Ave,Riverside,CA,92505
Mezcal Cantina Y Cocina,$$,3.5,978,3737 Main St,Riverside,CA,92501
El Habanero,$,4.0,466,6160 Arlington Ave,Riverside,CA,92504
Ooka Japanese Restaurant,$$,3.5,638,3525 Riverside Plaza Dr,Riverside,CA,92506
Plant Power Fast Food,,5.0,9,3940 University Ave,Riverside,CA,92501
Sushingon,$$,4.0,277,6060 Magnolia Ave,Riverside,CA,92506
Angel Thai Cuisine,$$,4.0,286,6736 Brockton Ave,Riverside,CA,92506
Islands Restaurant,$$,4.0,328,3645 Central Ave,Riverside,CA,92506
Raising Cane's Chicken Fingers,$,3.5,542,11066 Magnolia Ave,Riverside,CA,92505
Wicked Garden Cafe,,5.0,4,,Riverside,CA,92503
Amagi Sushi,$$,4.0,291,19510 Van Buren Blvd,Riverside,CA,92508
Kamay Kainan,$,4.0,51,10759 Magnolia Ave,Riverside,CA,92505
Charley Rokks BBQ,$$,4.0,192,5145 Jurupa Ave,Riverside,CA,92504
P.F. Chang's,$$,3.5,452,3475 Tyler St,Riverside,CA,92503
Tocayo Birrieria,,4.0,12,6332 Mission Blvd,Riverside,CA,92509
5 Star Pho Restaurant,$,4.5,299,4950 La Sierra Ave,Riverside,CA,92505
Pho Star Bowl,$,4.5,699,10051 Magnolia Ave,Riverside,CA,92503
Ocean Pho,$$,4.0,148,4069 Chicago Ave,Riverside,CA,92507
So China,$,4.0,78,3737 Main St,Riverside,CA,92501
Freshii,$$,4.5,258,3434 Arlington Ave,Riverside,CA,92506
Pho Ha #7,$,4.0,395,1820 University Ave,Riverside,CA,92507
Sushi Station,$$,4.0,397,19029 Van Buren Blvd,Riverside,CA,92508
Mifen House,$$,4.0,39,1201 University Ave,Riverside,CA,92507
TGI Fridays,$$,3.0,382,3487 Tyler Mall St,Riverside,CA,92503
Pho DJ,$,4.5,62,5180 Arlington Ave,Riverside,CA,92504
Olive Garden Italian Restaurant,$$,3.5,566,3650 Tyler St,Riverside,CA,92503
The Buffalo Spot,$$,3.5,111,3740 Iowa Ave,Riverside,CA,92507
Ramen Okawari,$$,3.5,413,3740 Iowa Ave,Riverside,CA,92507
Top Grill,$,4.5,202,5225 Canyon Crest Dr,Riverside,CA,92507
Marisa's Italian Deli,$$,4.0,305,5225 Canyon Crest Dr,Riverside,CA,92507
Manna Grill,$,4.0,176,1201 University Ave,Riverside,CA,92507
Mirchi,$,4.0,93,1385 W Blaine St,Riverside,CA,92507
Enzo's Pizza & Pasta,$$,4.0,554,10170 Indiana Ave,Riverside,CA,92503
Dragon House,$$,3.5,310,10466 Magnolia Ave,Riverside,CA,92505
Romano's,$$,3.0,229,285 E Alessandro Blvd,Riverside,CA,92508
BurgerIM,$$,4.0,111,10920 Magnolia Ave,Riverside,CA,92505
Viano's Pizza & Pasta,$$,4.5,166,16960 Van Buren Blvd,Riverside,CA,92504
Machos Grill,$$,4.5,35,7700 Limonite Ave,Jurupa Valley,CA,92509
Casa De Vegan,,5.0,14,,Riverside,CA,92503
Mongolian BBQ,$,3.5,180,1242 University Ave,Riverside,CA,92507
Pepitos Mexican Restaurant,$$,3.5,269,6539 Magnolia Ave,Riverside,CA,92506
And Burgers,$$,4.0,235,5225 Canyon Crest Dr,Riverside,CA,92507
The Sire Bar And Grill,$$,3.5,196,6440 Magnolia Ave,Riverside,CA,92506
Teriyaki Plus,$,4.0,262,7120 Indiana Ave,Riverside,CA,92504
Red Lobster,$$,3.0,352,3700 Park Sierra,Riverside,CA,92505
Mariscos Del Pacifico,$$,5.0,61,10436 Magnolia Ave,Riverside,CA,92505
Chili's,$$,3.0,204,499 E Alessandro Blvd,Riverside,CA,92508
The Upper Crust Sandwich Shoppe,$$,4.5,536,3573 Main St,Riverside,CA,92501
La Bufadora Baja Grill,$,4.0,197,497 E Alessandro Blvd,Riverside,CA,92508
Morefire Thai Cuisine,$$,4.0,307,2955 Van Buren Blvd,Riverside,CA,92503
Burgerim,$$,4.0,111,1201 University Ave,Riverside,CA,92507
Las Campanas,$$,3.0,652,3649 Mission Inn Ave,Riverside,CA,92501
Tio's Tacos,$$,3.5,983,3948 Mission Inn Ave,Riverside,CA,92501
The Cali Grub,$,5.0,105,2025 Chicago Ave,Riverside,CA,92507
Buffalo Wild Wings,$$,2.5,603,3775 Tyler St,Riverside,CA,92503
Bricks and Birch,$$,4.0,45,3605 Market St,Riverside,CA,92501
Mission Inn Restaurant,$$$,3.5,829,3649 Mission Inn Ave,Riverside,CA,92501
Northgate Gonzalez Market,,4.0,42,10391 Magnolia Ave,Riverside,CA,92505
Royal Orchid Thai II,$,4.0,274,1450 University Ave,Riverside,CA,92507
Hibachi Grill Buffet,$$,3.0,343,10102 Indiana Ave,Riverside,CA,92503
Maria's Mexican Kitchen,$$,4.0,174,17028 Van Buren Blvd,Riverside,CA,92504
Kountry Folks Homestyle Restaurant,$$,4.0,713,3653 La Sierra Ave,Riverside,CA,92505
Chilitos Mexican Grill,$,4.5,312,3847 S Pierce St,Riverside,CA,92503
Raincross Pub & Kitchen,$$,3.0,249,3557 University Ave,Riverside,CA,92501
Tony’s Mexican Grill,,4.5,97,9670 Magnolia Ave,Riverside,CA,92503
